dataset,method,n_test,img_size,steps,z_init_std,optimizer,lr,gamma,noise_std,psnr1,psnr2,psnr3,psnr_noisy
celeba,glow,12,64,20,0,lbfgs,1,40,0.1,17.773,,,20.4862857142857
celeba,glow,12,64,20,0,lbfgs,1,50,0.1,17.26,,,20.4862857142857
,,,,,,,,,,,,,
celeba,glow,12,64,20,0,lbfgs,1,0,0.2,16.331,,,15.0540714285714
celeba,glow,12,64,20,0,lbfgs,1,0.01,0.2,16.341,,,15.0540714285714
celeba,glow,12,64,20,0,lbfgs,1,0.025,0.2,16.364,,,15.0540714285714
celeba,glow,12,64,20,0,lbfgs,1,0.05,0.2,16.403,,,15.0540714285714
celeba,glow,12,64,20,0,lbfgs,1,0.075,0.2,16.446,,,15.0540714285714
celeba,glow,12,64,20,0,lbfgs,1,0.1,0.2,16.484,,,15.0540714285714
celeba,glow,12,64,20,0,lbfgs,1,0.25,0.2,16.822,,,15.0540714285714
celeba,glow,12,64,20,0,lbfgs,1,0.5,0.2,17.69,,,15.0540714285714
celeba,glow,12,64,20,0,lbfgs,1,0.75,0.2,18.753,,,15.0540714285714
celeba,glow,12,64,20,0,lbfgs,1,1,0.2,20.106,,,15.0540714285714
celeba,glow,12,64,20,0,lbfgs,1,2.5,0.2,27.092,,,15.0540714285714
celeba,glow,12,64,20,0,lbfgs,1,5,0.2,25.323,,,15.0540714285714
celeba,glow,12,64,20,0,lbfgs,1,7.5,0.2,24.034,,,15.0540714285714
celeba,glow,12,64,20,0,lbfgs,1,10,0.2,23.212,,,15.0540714285714
celeba,glow,12,64,20,0,lbfgs,1,20,0.2,20.336,,,15.0540714285714
celeba,glow,12,64,20,0,lbfgs,1,30,0.2,18.986,,,15.0540714285714
celeba,glow,12,64,20,0,lbfgs,1,40,0.2,17.813,,,15.0540714285714
celeba,glow,12,64,20,0,lbfgs,1,50,0.2,17.251,,,15.0540714285714
,,,,,,,,,,,,,
celeba,dcgan,12,64,20,0,lbfgs,1,0,0,22.258,22.314,22.11,
celeba,dcgan,12,64,20,0,lbfgs,1,0.01,0,22.285,22.373,22.245,
celeba,dcgan,12,64,20,0,lbfgs,1,0.025,0,21.987,22.358,22.275,
celeba,dcgan,12,64,20,0,lbfgs,1,0.05,0,22.211,22.155,22.371,
celeba,dcgan,12,64,20,0,lbfgs,1,0.075,0,22.227,22.146,22.023,
celeba,dcgan,12,64,20,0,lbfgs,1,0.1,0,22.206,22.223,22.248,
celeba,dcgan,12,64,20,0,lbfgs,1,0.25,0,22.077,22.118,22.254,
celeba,dcgan,12,64,20,0,lbfgs,1,0.5,0,22.1,22.103,22.179,
celeba,dcgan,12,64,20,0,lbfgs,1,0.75,0,22.084,22.021,22.086,
